job_number,borough,bin_number,street_name,job_type,permit_type,work_type,permit_status,filing_status,issuance_date,expiration_date,job_start_date
110436984,MANHATTAN,1009020,3 AVENUE,A2,PL,PL,ISSUED,RENEWAL,01/01/2013,01/01/2014,11/30/2011
121988046,MANHATTAN,1082143,E 28 STREET,A2,EW,OT,ISSUED,RENEWAL,01/01/2015,01/14/2016,07/07/2014
121988037,MANHATTAN,1082144,E 28 STREET,A2,EW,OT,ISSUED,RENEWAL,01/01/2015,01/14/2016,07/07/2014
121988046,MANHATTAN,1082143,E 28 STREET,A2,EW,MH,ISSUED,RENEWAL,01/01/2015,01/14/2016,07/07/2014
123673952,MANHATTAN,1083734,WEST 57TH STREET,A2,EW,OT,ISSUED,RENEWAL,01/01/2020,10/08/2020,04/11/2019
123372233,MANHATTAN,1083734,WEST 57 STREET,A2,EW,OT,ISSUED,RENEWAL,01/01/2020,10/08/2020,04/08/2019
123740050,MANHATTAN,1051491,5TH. AVENUE,A2,EW,OT,ISSUED,RENEWAL,01/01/2023,01/01/2023,08/27/2020
121204972,MANHATTAN,1010340,WASHINGTON STREET,A1,AL,,ISSUED,RENEWAL,01/01/2024,12/31/2024,05/13/2021
104587289,MANHATTAN,1001203,NASSAU STREET,A1,AL,,ISSUED,RENEWAL,01/01/2024,07/22/2024,07/15/2016
100146307,MANHATTAN,1046669,PARK AVENUE,A2,EW,OT,ISSUED,RENEWAL,01/02/1991,04/15/1991,12/06/1990
100137905,MANHATTAN,1049224,SECOND AVENUE,A2,EQ,EQ,ISSUED,INITIAL,01/02/1991,06/04/1991,01/04/1991
100154887,MANHATTAN,1045993,EAST   78 STREET,A2,EW,BL,ISSUED,INITIAL,01/02/1991,05/01/1991,01/02/1991
